DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances)
04/11/2019;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIR;25 Rue Vincent Mir;65170;SAINT-LARY-SOULAN;https://hotelmir.fr/fr/;-;40;20;-;-;-
19/06/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRA-MAR;Boulevard Jean Moulin;34350;VALRAS-PLAGE;https://hotel-miramar.org;-;65;27;-;-;-
25/09/2017;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MIRABEAU;89 bis Boulevard Heurteloup;37000;TOURS;http://www.hotel-mirabeau.fr;-;65;25;-;-;-
13/06/2019;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRABEAU EIFFEL;35 rue Sébastien Mercier;75015;PARIS;www.hotelmirabeaueiffel.com;-;66;29;-;-;-
05/07/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRADOUR;4 Avenue Milliès Lacroix;40100;DAX;http://www.accorhotels.com/fr/hotel-8709-ibis-styles-dax-miradour/index.shtml;-;248;120;-;-;-
29/07/2016;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRAMAR;173 avenue de Pontaillac;17200;ROYAN;http://www.hotel-miramar-royan.fr;-;60;27;-;-;-
22/06/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRAMAR;6 PLACE BIENVENUE;75015;PARIS;www.hotelmiramar75.com;-;69;37;-;-;-
28/07/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRAMAR;167 Avenue Bougearel;06140;VENCE;http://www.hotel-miramar-vence.com;-;39;18;-;-;-
27/02/2018;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MIRAMAR;126 avenue du 3 Septembre;06320;CAP-D'AIL;http://www.miramarhotel.fr/fr/hotel-cap-d-ail-site-officiel.php;-;57;25;-;-;-
06/04/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRAMAR;67 Chemin de la Plage Armand Jammot;06160;ANTIBES;www.hotel-antibes-cotedazur.com;-;29;14;-;-;-
11/12/2015;HÔTEL DE TOURISME;5 étoiles;-;-;HÔTEL MIRAMAR LA CIGALE;Port du Crouesty;56640;ARZON;https://www.miramar-lacigale.com/;-;228;114;-;-;-
03/11/2015;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRANO;11 avenue Pasteur;64200;BIARRITZ;http://www.hotelmirano.fr;-;22;9;-;-;-
04/10/2018;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRASOL;12 rue de la Reine Astrid;65100;LOURDES;http://www.hotelsabadie-lourdes.com;-;78;33;-;-;-
28/11/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIREILLE;2 PLACE SAINT-PIERRE;13200;ARLES;www.hotel-mireille.com;-;64;30;-;-;-
05/06/2015;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIRIFIC;119 Avenue de Clichy;75017;PARIS;www.hotelmirificparis.com;-;146;65;-;-;-
30/06/2017;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MISTER BED CITY BOURGOIN-JALLIEU;21 avenue d’Italie;38300;BOURGOIN-JALLIEU;http://www.misterbed.fr/hotel/hotel-mister-bed-bourgoin-jallieu/;-;132;61;-;-;-
20/03/2020;HÔTEL DE TOURISME;1 étoile;-;-;HÔTEL MISTER BED TOURS;25 Etienne Cosson;37170;CHAMBRAY LES TOURS;http://www.misterbed.fr/hotel/hotel-mister-bed-tours/;-;127;57;-;-;-
07/06/2018;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MISTRAL;24 rue cels;75014;PARIS;www.hotel-mistral-paris.com;-;71;37;-;-;-
02/04/2015;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MISTRAL;Route de Saint-Rémy;13103;MAS-BLANC-DES-ALPILLES;http://www.hotelmistral.fr;-;31;13;-;-;-
03/11/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MOBY DICK;baie de santa-giulia;20137;PORTO-VECCHIO;http://www.sud-corse.com/hotel-moby-dick_pageid211.html;-;88;44;-;-;-
08/06/2018;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MODERN;9 place de la cale;29980;ÎLE-TUDY;www.hotelmodern.com;-;25;10;-;-;-
27/03/2018;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MODERN'EST;91 boulevard de strasbourg;75010;PARIS;www.hotel-modernest-paris.com;-;60;30;-;-;-
11/09/2017;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MODERNA;28 rue marine;50100;CHERBOURG-OCTEVILLE;http://www.hotel-moderna.com/;-;47;23;-;-;-
23/06/2015;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MODERNE;1 place de la Gare;27140;GISORS;www.hotel-moderne-gisors.com;-;61;31;-;-;-
24/04/2017;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MODERNE;8 RUE DU DOCTEUR MAX DURAND FARDEL;03200;VICHY;https://www.hotelmoderne-vichy.com;-;74;37;-;-;-
04/08/2016;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MODERNE;30 RUE DE BRETEUIL;13006;MARSEILLE;http://www.hotel-moderne-marseille.com;-;38;18;-;-;-
26/10/2016;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MODERNE;13 allée du Général de Gaulle;34350;VALRAS-PLAGE;http://www.moderne-creole.com;-;71;33;-;-;-
18/08/2015;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MODERNE;1 boulevard Faidherbe;62000;ARRAS;http://www.hotel-moderne-arras.com/;-;110;50;-;-;-
31/05/2016;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MODERNE;15 RUE DUBOIS;69002;LYON;http://www.hotel-moderne-lyon.com/;-;47;23;-;-;-
30/03/2016;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MODERNE;1 Cours Georges V;06500;MENTON;http://www.hotel-moderne-menton.com/index.php;-;75;33;-;-;-
27/01/2020;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MODERNE;1 rue la fayette;57000;METZ;http://www.hotel-moderne-metz.fr/;-;100;40;-;-;-
06/02/2018;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MODERNE SAINT GERMAIN;33 rue des Écoles;75005;PARIS;www.hotel-paris-stgermain.com;-;90;45;-;-;-
20/05/2016;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MOGADOR;51 rue de la victoire;75009;PARIS;www.hotelmogador.com;-;35;17;-;-;-
25/04/2018;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MOGADOR;20 rue Alain Chartier;14400;BAYEUX;www.hotelmo.fr;-;34;14;-;-;-
17/06/2019;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MOKA;84 rue de la Gare;79000;NIORT;http://www.mokahotelniort.com/;-;63;33;-;-;-
05/07/2019;HÔTEL DE TOURISME;5 étoiles;-;-;HÔTEL MOLITOR;13 rue Nungesser et Coli;75016;PARIS;http://www.mltr.fr/;-;312;124;-;-;-
19/11/2018;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MOLIÈRE;21 RUE MOLIèRE;75001;PARIS;www.hotel-moliere.fr;-;66;29;-;-;-
28/08/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MOLIÈRE;5 rue Molière;06400;CANNES;www.hotel-moliere.com;-;52;24;-;-;-
14/03/2018;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MOM'ART;42 rue d'Orsel;75018;PARIS;https://www.hotelmomart.com/;-;52;25;-;-;-
29/03/2016;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MON SOLEIL;221 ROUTE DE SAINT LAURENT;06610;LA GAUDE;http://www.hotelmonsoleil.com/fr/bienvenue/;-;16;8;-;-;-
02/05/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MONA LISA;42 avenue Georges Clémenceau;44500;LA BAULE-ESCOUBLAC;http://www.hotelmonalisa-labaule.com;-;32;16;-;-;-
